Population,Predation.Treatment,Generation,Cage.ID,Day,Date,Terraria,Time,X,Y,Estimate,Notes,Distance
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,7H 40M 0S,3,1,NA,,18.24828759
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,8H 0M 0S,3,1,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,8H 20M 0S,7,3,NA,,4.472135955
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,8H 40M 0S,9,5,NA,,2.828427125
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,9H 0M 0S,8,4,NA,,1.414213562
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,9H 20M 0S,8,3,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,9H 40M 0S,8,3,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,10H 0M 0S,2,3,NA,,6
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,10H 20M 0S,2,3,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,10H 40M 0S,2,19,NA,,16
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,11H 0M 0S,2,19,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,11H 20M 0S,9,20,NA,,7.071067812
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,11H 40M 0S,9,8,NA,,12
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,12H 0M 0S,8,21,NA,,13.03840481
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,12H 20M 0S,9,21,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,12H 40M 0S,1,17,NA,,8.94427191
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,13H 0M 0S,2,21,NA,,4.123105626
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,13H 20M 0S,1,21,NA,,1
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,13H 40M 0S,1,21,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,14H 0M 0S,1,21,NA,,0
DC,Predator,F2,S_DCN_P6,1,8/22/23,20,14H 20M 0S,8,9,NA,,13.89244399
